學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1072,大華科技大學,D 日,B 四技,79,34,40,30,115,74,168,90,0,0,0,0,0,0,80,32,04 新竹縣,2 技職
1072,大華科技大學,D 日,C 二技,0,0,0,0,16,14,12,13,0,0,0,0,0,0,1,2,04 新竹縣,2 技職
1072,大華科技大學,D 日,5 五專,78,44,69,53,104,59,63,49,129,84,0,0,0,0,14,16,04 新竹縣,2 技職
1072,大華科技大學,N 修,B 四技,107,19,66,21,98,36,54,33,0,0,0,0,0,0,29,5,04 新竹縣,2 技職
1072,大華科技大學,N 修,C 二技,0,0,0,0,263,120,327,93,0,0,0,0,0,0,2,0,04 新竹縣,2 技職
1072,大華科技大學,N 修,2 二專,40,9,18,14,0,0,0,0,0,0,0,0,0,0,2,0,04 新竹縣,2 技職
1073,醒吾科技大學,D 日,M 碩士,22,11,14,7,5,1,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1073,醒吾科技大學,D 日,B 四技,638,851,527,757,578,898,516,948,0,0,0,0,0,0,101,73,01 新北市,2 技職
1073,醒吾科技大學,D 日,C 二技,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1073,醒吾科技大學,D 日,5 五專,48,75,95,133,98,165,55,95,65,169,0,0,0,0,4,4,01 新北市,2 技職
1073,醒吾科技大學,N 職,M 碩士,28,21,12,4,7,1,2,4,6,1,0,0,0,0,0,0,01 新北市,2 技職
1073,醒吾科技大學,N 修,B 四技,157,186,137,158,118,118,104,128,0,0,0,0,0,0,34,18,01 新北市,2 技職
1074,南榮科技大學,D 日,M 碩士,8,7,6,5,3,2,0,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1074,南榮科技大學,D 日,B 四技,68,50,105,74,190,152,276,153,0,0,0,0,0,0,37,17,11 臺南市,2 技職
1074,南榮科技大學,D 日,C 二技,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1074,南榮科技大學,D 日,5 五專,11,0,25,9,25,12,26,12,33,9,0,0,0,0,8,5,11 臺南市,2 技職
1074,南榮科技大學,N 職,M 碩士,5,7,9,3,0,0,0,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1074,南榮科技大學,N 修,B 四技,51,25,57,29,110,51,140,102,0,0,0,0,0,0,38,19,11 臺南市,2 技職
1074,南榮科技大學,N 修,C 二技,0,0,0,0,27,13,9,7,0,0,0,0,0,0,1,0,11 臺南市,2 技職
1074,南榮科技大學,N 修,2 二專,77,28,26,19,0,0,0,0,0,0,0,0,0,0,3,4,11 臺南市,2 技職
1075,文藻外語大學,D 日,M 碩士,16,34,15,40,7,29,5,17,0,0,0,0,0,0,0,0,50 高雄市,2 技職
1075,文藻外語大學,D 日,B 四技,297,966,307,912,276,980,200,966,0,0,0,0,0,0,81,244,50 高雄市,2 技職
1075,文藻外語大學,D 日,C 二技,0,0,0,0,17,100,22,110,0,0,0,0,0,0,5,19,50 高雄市,2 技職
1075,文藻外語大學,D 日,5 五專,51,268,53,258,65,288,53,278,53,271,0,0,0,0,9,25,50 高雄市,2 技職
1075,文藻外語大學,N 職,M 碩士,6,12,4,14,3,10,5,3,1,4,0,0,0,0,0,0,50 高雄市,2 技職
1075,文藻外語大學,N 修,B 四技,207,353,126,293,101,260,73,232,0,0,0,0,0,0,49,141,50 高雄市,2 技職
1075,文藻外語大學,N 修,C 二技,0,0,0,0,25,67,9,55,0,0,0,0,0,0,10,19,50 高雄市,2 技職
1076,華夏科技大學,D 日,M 碩士,15,0,16,2,7,0,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1076,華夏科技大學,D 日,B 四技,393,243,339,211,476,238,446,242,0,0,0,0,0,0,81,36,01 新北市,2 技職
1076,華夏科技大學,D 日,C 二技,0,0,0,0,36,15,33,5,0,0,0,0,0,0,0,0,01 新北市,2 技職
1076,華夏科技大學,D 日,5 五專,99,13,156,15,114,18,71,15,70,17,0,0,0,0,6,1,01 新北市,2 技職
1076,華夏科技大學,N 職,M 碩士,17,8,14,8,8,0,8,2,0,0,0,0,0,0,0,0,01 新北市,2 技職
1076,華夏科技大學,N 修,B 四技,90,69,99,64,141,69,137,79,0,0,0,0,0,0,43,13,01 新北市,2 技職
1076,華夏科技大學,N 修,C 二技,0,0,0,0,96,95,60,15,0,0,0,0,0,0,6,2,01 新北市,2 技職
1076,華夏科技大學,N 修,2 二專,32,48,65,68,0,0,0,0,0,0,0,0,0,0,8,6,01 新北市,2 技職
1077,慈濟科技大學,D 日,M 碩士,5,12,6,2,1,0,0,3,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,B 四技,128,213,142,180,134,131,140,151,0,0,0,0,0,0,37,20,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,C 二技,0,0,0,0,11,128,8,138,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,5 五專,39,221,31,224,24,222,27,210,23,200,0,0,0,0,5,23,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,C 二技,0,0,0,0,3,41,3,51,0,0,0,0,0,0,2,8,15 花蓮縣,2 技職
1078,致理科技大學,D 日,M 碩士,4,14,5,14,1,11,0,1,0,0,0,0,0,0,0,0,01 新北市,2 技職
1078,致理科技大學,D 日,B 四技,473,1046,487,1038,481,1042,425,1080,0,0,0,0,0,0,152,135,01 新北市,2 技職
1078,致理科技大學,D 日,C 二技,0,0,0,0,28,122,24,99,0,0,0,0,0,0,7,10,01 新北市,2 技職
1078,致理科技大學,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,01 新北市,2 技職
1078,致理科技大學,D 日,5 五專,53,274,66,259,60,270,63,246,41,263,0,0,0,0,13,11,01 新北市,2 技職
1078,致理科技大學,N 職,M 碩士,5,12,1,10,1,8,0,0,0,5,0,0,0,0,0,0,01 新北市,2 技職
1078,致理科技大學,N 修,B 四技,295,502,224,468,268,444,213,499,0,0,0,0,0,0,84,109,01 新北市,2 技職
1078,致理科技大學,N 修,C 二技,0,0,0,0,0,0,45,96,0,0,0,0,0,0,6,8,01 新北市,2 技職
1079,康寧大學,D 日,M 碩士,30,64,16,31,2,2,6,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1079,康寧大學,D 日,B 學士,95,76,82,81,121,102,146,168,0,0,0,0,0,0,36,19,30 臺北市,1 一般
1079,康寧大學,D 日,2 二專,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,1,30 臺北市,2 技職
1079,康寧大學,D 日,5 五專,148,433,144,476,126,493,113,410,117,408,0,0,0,0,8,13,30 臺北市,2 技職
1079,康寧大學,N 職,M 碩士,22,53,25,24,4,5,4,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1079,康寧大學,N 修,2 二專,32,128,43,130,0,0,0,0,0,0,0,0,0,0,1,8,30 臺北市,2 技職
1079,康寧大學,P 進,B 學士,97,63,66,30,83,67,53,35,0,0,0,0,0,0,3,3,30 臺北市,1 一般
1080,宏國德霖科技大學,D 日,B 四技,366,261,406,244,411,299,419,317,0,0,0,0,0,0,91,38,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,C 二技,0,0,0,0,9,40,8,29,0,0,0,0,0,0,0,0,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,5 五專,160,98,232,121,189,108,162,97,186,112,0,0,0,0,16,8,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,B 四技,175,132,219,123,224,137,166,97,0,0,0,0,0,0,36,13,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,C 二技,0,0,0,0,188,134,142,84,0,0,0,0,0,0,9,3,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,2 二專,59,53,84,54,0,0,0,0,0,0,0,0,0,0,7,2,01 新北市,2 技職
1081,東方設計大學,D 日,D 博士,4,4,5,6,5,3,2,1,0,0,0,0,0,0,0,0,12 高雄市,2 技職
1081,東方設計大學,D 日,M 碩士,21,29,19,27,10,11,1,1,0,0,0,0,0,0,0,0,12 高雄市,2 技職
1081,東方設計大學,D 日,B 四技,180,109,117,111,197,170,179,218,0,0,0,0,0,0,48,39,12 高雄市,2 技職
1081,東方設計大學,D 日,C 二技,0,0,0,0,15,12,5,10,0,0,0,0,0,0,3,2,12 高雄市,2 技職
1081,東方設計大學,D 日,5 五專,97,131,133,159,170,201,110,141,95,175,0,0,0,0,10,10,12 高雄市,2 技職
1081,東方設計大學,N 職,M 碩士,7,9,5,3,4,0,2,2,0,0,0,0,0,0,0,0,12 高雄市,2 技職
1081,東方設計大學,N 修,B 四技,19,36,16,29,23,23,8,7,0,0,0,0,0,0,2,1,12 高雄市,2 技職
1082,崇右影藝科技大學,D 日,M 碩士,24,20,15,18,2,3,0,0,0,0,0,0,0,0,0,0,17 基隆市,2 技職
1082,崇右影藝科技大學,D 日,B 四技,232,351,214,221,275,339,218,253,0,0,0,0,0,0,107,73,17 基隆市,2 技職
1082,崇右影藝科技大學,D 日,5 五專,0,0,38,39,35,39,31,39,33,54,0,0,0,0,2,10,17 基隆市,2 技職
1083,台北海洋科技大學,D 日,M 碩士,32,22,16,13,2,1,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1083,台北海洋科技大學,D 日,B 四技,373,329,364,316,465,436,439,427,0,0,0,0,0,0,115,89,01 新北市,2 技職
1083,台北海洋科技大學,D 日,C 二技,0,0,0,0,68,36,75,26,0,0,0,0,0,0,10,1,01 新北市,2 技職
1083,台北海洋科技大學,D 日,X 4+X,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1083,台北海洋科技大學,D 日,2 二專,38,2,49,6,0,0,0,0,0,0,0,0,0,0,9,0,01 新北市,2 技職
1083,台北海洋科技大學,D 日,5 五專,139,56,163,96,160,106,136,95,141,107,0,0,0,0,29,10,01 新北市,2 技職
1083,台北海洋科技大學,N 修,B 四技,10,17,9,32,14,15,15,13,0,0,0,0,0,0,8,1,01 新北市,2 技職
1083,台北海洋科技大學,N 修,C 二技,0,0,0,0,11,33,10,24,0,0,0,0,0,0,0,0,01 新北市,2 技職
1083,台北海洋科技大學,N 修,2 二專,43,5,38,3,0,0,0,0,0,0,0,0,0,0,5,0,01 新北市,2 技職
1125,中信金融管理學院,D 日,M 碩士,13,17,7,8,0,0,0,0,0,0,0,0,0,0,0,0,21 臺南市,1 一般
1125,中信金融管理學院,D 日,B 學士,74,79,67,73,58,75,6,4,0,0,0,0,0,0,1,1,21 臺南市,1 一般
1125,中信金融管理學院,P 進,B 學士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21 臺南市,1 一般
1148,大漢技術學院,D 日,M 碩士,29,11,26,5,11,3,0,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1148,大漢技術學院,D 日,B 四技,59,39,53,25,53,29,67,30,0,0,0,0,0,0,25,4,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,B 四技,76,40,53,25,46,24,38,30,0,0,0,0,0,0,4,3,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,C 二技,0,0,0,0,90,77,87,63,0,0,0,0,0,0,1,1,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,2 二專,50,41,40,44,0,0,0,0,0,0,0,0,0,0,1,2,15 花蓮縣,2 技職
1159,和春技術學院,D 日,M 碩士,10,3,16,2,8,1,1,0,0,0,0,0,0,0,0,0,12 高雄市,2 技職
1159,和春技術學院,D 日,B 四技,41,18,103,97,113,70,130,48,0,0,0,0,0,0,63,30,12 高雄市,2 技職
1159,和春技術學院,D 日,C 二技,0,0,0,0,2,8,12,8,0,0,0,0,0,0,0,0,12 高雄市,2 技職
1159,和春技術學院,D 日,5 五專,18,25,48,51,35,18,30,14,37,27,0,0,0,0,4,1,12 高雄市,2 技職
1159,和春技術學院,N 修,B 四技,55,32,33,31,91,18,70,19,0,0,0,0,0,0,37,9,12 高雄市,2 技職
1159,和春技術學院,N 修,C 二技,0,0,0,0,153,100,155,74,0,0,0,0,0,0,13,2,12 高雄市,2 技職
1159,和春技術學院,N 修,2 二專,108,52,213,90,0,0,0,0,0,0,0,0,0,0,25,3,12 高雄市,2 技職
1166,亞東技術學院,D 日,M 碩士,13,4,8,3,3,1,2,1,0,0,0,0,0,0,0,0,01 新北市,2 技職
1166,亞東技術學院,D 日,B 四技,698,293,731,267,709,285,718,315,0,0,0,0,0,0,115,32,01 新北市,2 技職
1166,亞東技術學院,D 日,C 二技,0,0,0,0,5,87,0,91,0,0,0,0,0,0,0,1,01 新北市,2 技職
1166,亞東技術學院,N 修,B 四技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,01 新北市,2 技職
1166,亞東技術學院,N 修,C 二技,0,0,0,0,0,49,1,23,0,26,0,0,0,0,0,1,01 新北市,2 技職
1168,南亞技術學院,D 日,M 碩士,9,5,9,9,1,0,2,2,0,0,0,0,0,0,0,0,03 桃園市,2 技職
1168,南亞技術學院,D 日,B 四技,196,161,245,195,290,235,353,315,0,0,0,0,0,0,116,72,03 桃園市,2 技職
1168,南亞技術學院,D 日,5 五專,42,22,56,49,69,58,0,0,0,0,0,0,0,0,0,0,03 桃園市,2 技職
1168,南亞技術學院,N 修,B 四技,153,65,159,52,159,66,143,85,0,0,0,0,0,0,37,20,03 桃園市,2 技職
1168,南亞技術學院,N 修,2 二專,28,6,49,9,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,2 技職
1176,稻江科技暨管理學院,D 日,M 碩士,16,20,13,19,7,3,0,0,0,0,1,0,0,0,0,0,10 嘉義縣,1 一般
1176,稻江科技暨管理學院,D 日,B 學士,260,197,180,169,119,106,145,148,0,0,0,0,0,0,29,18,10 嘉義縣,1 一般
1176,稻江科技暨管理學院,N 職,M 碩士,16,7,17,9,2,2,0,0,0,0,0,0,0,0,0,0,10 嘉義縣,1 一般
1176,稻江科技暨管理學院,N 修,C 二技,0,0,0,0,12,53,7,33,0,0,0,0,0,0,5,1,10 嘉義縣,2 技職
1176,稻江科技暨管理學院,P 進,B 學士,78,110,47,94,57,96,51,95,0,0,0,0,0,0,14,11,10 嘉義縣,1 一般
1182,蘭陽技術學院,D 日,B 四技,53,39,64,58,99,64,73,69,0,0,0,0,0,0,26,15,02 宜蘭縣,2 技職
1182,蘭陽技術學院,D 日,C 二技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,02 宜蘭縣,2 技職
1182,蘭陽技術學院,D 日,5 五專,35,34,89,50,77,63,29,20,41,32,0,0,0,0,18,8,02 宜蘭縣,2 技職
1183,黎明技術學院,D 日,B 四技,366,445,359,348,398,328,347,301,0,0,0,0,0,0,66,27,01 新北市,2 技職
1183,黎明技術學院,D 日,5 五專,88,16,97,22,127,12,127,24,143,22,0,0,0,0,16,1,01 新北市,2 技職
1183,黎明技術學院,N 修,B 四技,165,73,114,49,127,33,100,46,0,0,0,0,0,0,14,4,01 新北市,2 技職
1183,黎明技術學院,N 修,C 二技,0,0,0,0,7,42,1,48,0,0,0,0,0,0,0,0,01 新北市,2 技職
1183,黎明技術學院,N 修,2 二專,2,8,8,49,0,0,0,0,0,0,0,0,0,0,2,4,01 新北市,2 技職
1185,經國管理暨健康學院,D 日,M 碩士,5,5,3,4,0,5,3,1,0,0,0,0,0,0,0,0,17 基隆市,2 技職
1185,經國管理暨健康學院,D 日,B 四技,202,301,153,285,128,293,144,225,0,0,0,0,0,0,50,40,17 基隆市,2 技職
1185,經國管理暨健康學院,D 日,C 二技,0,0,0,0,5,77,6,46,0,0,0,0,0,0,0,2,17 基隆市,2 技職
1185,經國管理暨健康學院,D 日,5 五專,78,178,85,200,91,225,53,224,58,215,0,0,0,0,11,47,17 基隆市,2 技職
1185,經國管理暨健康學院,N 職,M 碩士,4,16,6,10,1,6,0,2,1,0,0,0,0,0,0,0,17 基隆市,2 技職
1185,經國管理暨健康學院,N 修,B 四技,9,8,20,10,38,70,21,37,0,0,0,0,0,0,15,7,17 基隆市,2 技職
1185,經國管理暨健康學院,N 修,C 二技,0,0,0,0,4,86,2,49,0,0,0,0,0,0,1,3,17 基隆市,2 技職
1188,大同技術學院,D 日,B 四技,117,159,130,178,177,172,150,206,0,0,0,0,0,0,16,18,20 嘉義市,2 技職
1188,大同技術學院,D 日,5 五專,11,10,21,16,21,23,22,12,32,28,0,0,0,0,5,2,20 嘉義市,2 技職
1188,大同技術學院,N 修,B 四技,25,47,24,26,20,40,29,50,0,0,0,0,0,0,4,5,20 嘉義市,2 技職
1188,大同技術學院,N 修,C 二技,0,0,0,0,43,125,39,85,0,0,0,0,0,0,3,3,20 嘉義市,2 技職
1188,大同技術學院,N 修,2 二專,8,4,1,4,0,0,0,0,0,0,0,0,0,0,0,1,20 嘉義市,2 技職
1189,亞太創意技術學院,D 日,M 碩士,8,20,13,25,11,7,2,2,0,0,0,0,0,0,0,0,05 苗栗縣,2 技職
1189,亞太創意技術學院,D 日,B 四技,1,0,27,14,60,21,57,37,0,0,0,0,0,0,27,10,05 苗栗縣,2 技職
1189,亞太創意技術學院,D 日,C 二技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,05 苗栗縣,2 技職
1189,亞太創意技術學院,N 修,C 二技,0,0,0,0,51,149,20,285,0,0,0,0,0,0,1,2,05 苗栗縣,2 技職
1189,亞太創意技術學院,N 修,2 二專,0,16,0,25,0,0,0,0,0,0,0,0,0,0,0,2,05 苗栗縣,2 技職
1192,臺灣觀光學院,D 日,M 碩士,5,3,3,2,1,2,0,1,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1192,臺灣觀光學院,D 日,B 四技,21,14,45,55,74,74,78,97,0,0,0,0,0,0,37,11,15 花蓮縣,2 技職
1192,臺灣觀光學院,D 日,C 二技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15 花蓮縣,2 技職
1192,臺灣觀光學院,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15 花蓮縣,2 技職
1192,臺灣觀光學院,D 日,5 五專,4,11,22,22,19,38,15,36,16,19,0,0,0,0,0,0,15 花蓮縣,2 技職
1192,臺灣觀光學院,N 修,B 四技,10,11,4,6,9,9,14,21,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1192,臺灣觀光學院,N 修,C 二技,0,0,0,0,9,14,8,12,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1192,臺灣觀光學院,N 修,2 二專,3,12,6,20,0,0,0,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1195,馬偕醫學院,D 日,M 碩士,9,8,2,10,1,11,0,0,0,0,0,0,0,0,0,0,01 新北市,1 一般
1195,馬偕醫學院,D 日,B 學士,39,82,46,81,44,78,38,74,33,14,19,22,31,16,4,4,01 新北市,1 一般
1196,法鼓文理學院,D 日,D 博士,1,3,0,1,3,3,1,3,0,1,0,0,0,0,0,0,01 新北市,1 一般
1196,法鼓文理學院,D 日,M 碩士,17,43,17,44,13,35,4,15,0,0,0,0,0,0,0,0,01 新北市,1 一般
1196,法鼓文理學院,D 日,B 學士,8,11,6,7,4,9,5,12,0,0,0,0,0,0,0,1,01 新北市,1 一般
1282,馬偕醫護管理專科學校,D 日,2 二專,6,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30 臺北市,2 技職
1282,馬偕醫護管理專科學校,D 日,5 五專,108,719,97,716,85,730,76,677,84,672,0,0,0,0,21,73,30 臺北市,2 技職
1282,馬偕醫護管理專科學校,N 修,2 二專,95,96,54,54,0,0,0,0,0,0,0,0,0,0,5,0,30 臺北市,2 技職
1283,仁德醫護管理專科學校,D 日,5 五專,257,988,287,1011,286,957,210,849,194,861,0,0,0,0,130,209,05 苗栗縣,2 技職
1283,仁德醫護管理專科學校,N 修,2 二專,113,91,60,78,0,0,0,0,0,0,0,0,0,0,11,9,05 苗栗縣,2 技職
1284,樹人醫護管理專科學校,D 日,5 五專,327,1064,340,1074,319,1030,232,812,259,903,0,0,0,0,89,129,12 高雄市,2 技職
1284,樹人醫護管理專科學校,N 修,2 二專,143,91,134,69,30,18,17,7,0,0,0,0,0,0,8,2,12 高雄市,2 技職
1285,慈惠醫護管理專科學校,D 日,2 二專,28,40,21,24,0,0,0,0,0,0,0,0,0,0,5,9,13 屏東縣,2 技職
1285,慈惠醫護管理專科學校,D 日,5 五專,170,614,233,849,278,825,236,712,207,725,0,0,0,0,79,195,13 屏東縣,2 技職
1285,慈惠醫護管理專科學校,N 修,2 二專,39,83,45,74,12,10,5,4,0,0,0,0,0,0,14,20,13 屏東縣,2 技職
1286,耕莘健康管理專科學校,D 日,5 五專,109,935,102,944,107,901,107,852,81,852,0,0,0,0,26,113,01 新北市,2 技職
1286,耕莘健康管理專科學校,N 修,2 二專,0,46,0,40,0,0,0,0,0,0,0,0,0,0,0,2,01 新北市,2 技職
1287,敏惠醫護管理專科學校,D 日,5 五專,84,709,106,703,95,644,76,627,81,644,0,0,0,0,24,65,11 臺南市,2 技職
1288,高美醫護管理專科學校,D 日,5 五專,8,28,22,93,38,112,25,55,20,58,0,0,0,0,5,19,12 高雄市,2 技職
1288,高美醫護管理專科學校,N 修,2 二專,6,20,45,34,0,0,0,0,0,0,0,0,0,0,1,1,12 高雄市,2 技職
1289,育英醫護管理專科學校,D 日,5 五專,43,371,33,368,38,357,31,328,28,324,0,0,0,0,2,46,50 高雄市,2 技職
1290,崇仁醫護管理專科學校,D 日,5 五專,97,634,85,628,89,608,76,576,68,585,0,0,0,0,13,44,20 嘉義市,2 技職
1291,聖母醫護管理專科學校,D 日,5 五專,121,437,180,518,162,495,115,460,132,515,0,0,0,0,5,15,02 宜蘭縣,2 技職
1292,新生醫護管理專科學校,D 日,5 五專,171,1091,170,1121,150,1076,114,870,119,948,0,0,0,0,16,91,03 桃園市,2 技職
1292,新生醫護管理專科學校,N 修,2 二專,22,34,9,22,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,2 技職
3002,臺北市立大學,D 日,D 博士,18,13,18,14,12,24,16,18,11,14,6,18,17,29,0,0,30 臺北市,1 一般
3002,臺北市立大學,D 日,M 碩士,132,241,108,210,79,171,37,126,14,37,13,25,0,0,0,0,30 臺北市,1 一般
3002,臺北市立大學,D 日,B 學士,580,710,574,680,548,705,498,668,0,0,0,0,0,0,185,128,30 臺北市,1 一般
3002,臺北市立大學,N 職,M 碩士,98,250,102,224,38,100,29,43,15,39,20,20,0,0,0,0,30 臺北市,1 一般
